SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
Cc1cc(NC(=O)C2CCN(C(=O)c3c(C)oc(C)c3C)CC2)no1,345.393,1.314,1,88.58,3
O=C(NCCCO)c1cc2c(s1)CCCCC2,253.36,2.591,2,49.33,4
Cc1cccc(NC(=O)NCCc2ccc(O)cc2)c1,270.326,3.03,3,61.36,4
O=C(Cn1nnnc1-c1ccccn1)N1CCOCC1C1CC1,314.342,1.156,0,86.03,4
O=C(c1cc[nH]c1C1CC1)N1CCNC(c2cccc(F)c2)C1,313.369,2.416,2,48.13,3
CN1CCC[C@@H](CNC(=O)c2cc[nH]c2C2CC2)[C@@H]1c1ccnn1C,341.451,0.376,2,65.95,5
CN1CCC[C@@H](CNc2cc(N3CCCC3)ncn2)[C@@H]1c1ccnn1C,355.48,1.869,1,62.11,5
Cc1[nH]nc2ncc(C(=O)N3CCN(CC(C)(C)O)CC3)cc12,317.386,0.757,2,85.35,3
COc1ccc(OCCC(=O)N2CCN(C3CCCC3O)CC2)cc1,348.437,2.397,1,62.24,6
Cc1nnc(SC(C)c2cccc(NC(=O)c3ccccc3)c2)s1,355.477,3.114,1,54.88,5
CN(C)c1c(Cl)cccc1NC(=O)COc1ccc(Cl)c2cccnc12,390.263,4.883,1,54.46,5
O=C(Cc1cccc(C(F)(F)F)c1)Nc1nc(C(F)(F)F)cs1,354.271,3.825,1,41.99,5
COc1ccc(NC(=O)NCCc2ccc(O)cc2)cc1,286.326,2.634,3,70.59,5
O=C(c1c[nH]nc1[N+](=O)[O-])N1CCC(c2nc(-c3ccncc3)no2)(C(F)(F)F)C1,423.306,0.2,1,143.94,5
Cc1[nH]ccc1C(=O)NC1CCCN(Cc2c(F)cccc2F)C1,333.376,2.886,2,48.13,4
Cc1nc(C(=O)NC[C@@H]2CCCN(C)[C@H]2c2ccnn2C)c(=O)[nH]c1C,358.438,-0.06,2,91.62,4
CS(=O)(=O)Nc1cccc2c1CCN(C(=O)Nc1ccc3cc[nH]c3c1)C2,384.452,1.309,3,94.3,2
Cc1nc(CN2CCC(N3CCN(C)C3=O)CC2)nc2ccccc12,339.435,0.955,0,52.57,3
CCc1nc(C2CCCN2c2nn3cc(C)nc3s2)no1,304.371,1.335,0,72.35,3
NS(=O)(=O)NCc1cccnc1OC1CCCC1,271.336,1.269,2,94.31,4
CCc1n[nH]c(C2CN(C(=O)Cc3c(C)noc3C)CCO2)n1,319.359,-0.405,1,97.14,4
CCc1n[nH]c(C2CN(C(=O)Cc3ccc4c(c3)CCC4)CCO2)n1,340.419,2.191,1,71.11,4
COc1cccc(NC(=O)NCCc2ccc(O)cc2)c1,286.326,2.634,3,70.59,5
CCn1ccnc(N2CCCC(O)(Cc3nc(C)no3)C2)c1=O,319.359,-0.884,1,95.06,4
Cc1cc(N2CCC(NC(=O)c3cc[nH]c3C)C2=O)n(C)n1,301.344,0.072,2,83.02,3
CCC(C(=O)O)N(C)Cc1ccccc1N1CCOCC1,292.373,0.141,1,53.01,6
